entry_id,page,folio,length,wc-m,wordcount,% marginal,continued,categories,url,heading_tl
001r_1,1,1,292,343,50,95.20547945,0,lists,https://edition640.makingandknowing.org/#/folios/1r/f/1r/tl,[List of names]
001r_2,1,1,133,158,19,96.2406015,0,lists,https://edition640.makingandknowing.org/#/folios/1r/f/1r/tl,[List]
001r_3,1,1,1502,1437,202,97.93608522,0,lists,https://edition640.makingandknowing.org/#/folios/1r/f/1r/tl,[List of books and authors]
001r_4,1,1,94,139,12,81.91489362,0,lists,https://edition640.makingandknowing.org/#/folios/1r/f/1r/tl,[List of books]
001v_1,2,1,392,408,72,0,0,medicine,https://edition640.makingandknowing.org/#/folios/1v/f/1v/tl,For loosening the belly
002r_1,3,2,142,158,20,0,0,lists,https://edition640.makingandknowing.org/#/folios/2r/f/2r/tl,Books to recover
002r_2,3,2,87,97,16,0,0,medicine,https://edition640.makingandknowing.org/#/folios/2r/f/2r/tl,Against pains
002v_1,4,2,98,110,14,0,0,lists,https://edition640.makingandknowing.org/#/folios/2v/f/2v/tl,[List of books]
002v_2,4,2,388,475,79,0,0,stones,https://edition640.makingandknowing.org/#/folios/2v/f/2v/tl,Emeralds of Brissac
002v_3,4,2,107,131,22,0,0,stones,https://edition640.makingandknowing.org/#/folios/2v/f/2v/tl,| Sapphire
003r_1,5,3,1882,1951,341,63.7088204,0,stones,https://edition640.makingandknowing.org/#/folios/3r/f/3r/tl,Counterfeit coral
003r_2,5,3,1289,1426,234,37.47090768,0,varnish,https://edition640.makingandknowing.org/#/folios/3r/f/3r/tl,Varnish for panels
003r_3,5,3,1526,1665,276,14.87549148,69.79030144,varnish,https://edition640.makingandknowing.org/#/folios/3r/f/3r/tl,Thick varnish for planks
003v_1,6,3,459,476,82,0,0,varnish,https://edition640.makingandknowing.org/#/folios/3v/f/3v/tl,For varnishing
004r_1,7,4,1491,1632,260,10.86519115,0,varnish,https://edition640.makingandknowing.org/#/folios/4r/f/4r/tl,Varnish of spike lavender oil
004r_2,7,4,558,593,101,6.451612903,0,varnish,https://edition640.makingandknowing.org/#/folios/4r/f/4r/tl,For removing varnish from an old panel that is yellowish & varnishing it anew
